location,region,location_uk,location_ru,eng_oblast,eng_region,location_en,location_en_ru,russian_new
Тарасівка,Черкаська область,Тарасівка,Тарасовка,Cherkasy Oblast,Cherkasy Region,Tarasivka,Tarasovka,Тарасовка
Тимченки,Черкаська область,Тимченки,Тимченки,Cherkasy Oblast,Cherkasy Region,Tymchenky,Timchenki,Тимченки
Васютинці,Черкаська область,Васютинці,Васютинцы,Cherkasy Oblast,Cherkasy Region,Vasiutyntsi,Vasyutintsy,Васютинцы
Велика Бурімка,Черкаська область,Велика Бурімка,Большая Буримка,Cherkasy Oblast,Cherkasy Region,Velyka Burimka,Bolshaya Burimka,Большая Буримка
Великі Канівці,Черкаська область,Великі Канівці,Великие Каневцы,Cherkasy Oblast,Cherkasy Region,Velyki Kanivtsi,Velikie Kanevtsy,Великие Каневцы
Вереміївка,Черкаська область,Вереміївка,Веремеевка,Cherkasy Oblast,Cherkasy Region,Veremiivka,Veremeevka,Веремеевка
Веселий Хутір,Черкаська область,Веселий Хутір,Веселый Хутор,Cherkasy Oblast,Cherkasy Region,Veselyi Khutir,Veselyy Khutor,Веселый Хутор
Веселий Поділ,Черкаська область,Веселий Поділ,Веселый Подол,Cherkasy Oblast,Cherkasy Region,Veselyi Podil,Veselyy Podol,Веселый Подол
Воронинці,Черкаська область,Воронинці,Воронинцы,Cherkasy Oblast,Cherkasy Region,Voronyntsi,Voronintsy,Воронинцы
Вишнівка,Черкаська область,Вишнівка,Вишневка,Cherkasy Oblast,Cherkasy Region,Vyshnivka,Vishnevka,Вишневка
Загородище,Черкаська область,Загородище,Загородище,Cherkasy Oblast,Cherkasy Region,Zahorodyshche,Zagorodishche,Загородище
Жовнине,Черкаська область,Жовнине,Жовнине,Cherkasy Oblast,Cherkasy Region,Zhovnyne,Zhovnine,Жовнине
Жовтневе,Черкаська область,Жовтневе,Октябрьское,Cherkasy Oblast,Cherkasy Region,Zhovtneve,Oktyabrskoe,Жовтнево
Жовтневий Промінь,Черкаська область,Жовтневий Промінь,Октябрьский Луч,Cherkasy Oblast,Cherkasy Region,Zhovtnevyi Promin,Oktyabrskiy Luch,Октябрьский Луч
Боровиця,Черкаська область,Боровиця,Боровица,Cherkasy Oblast,Cherkasy Region,Borovytsia,Borovitsa,Боровица
Буда,Черкаська область,Буда,Конура,Cherkasy Oblast,Cherkasy Region,Buda,Konura,Буда
Бурякове,Черкаська область,Бурякове,Свекольное,Cherkasy Oblast,Cherkasy Region,Buriakove,Svekolnoe,Буряков
Чернече,Черкаська область,Чернече,Монашеское,Cherkasy Oblast,Cherkasy Region,Cherneche,Monasheskoe,Черницы
Чмирівка,Черкаська область,Чмирівка,Чмыровка,Cherkasy Oblast,Cherkasy Region,Chmyrivka,Chmyrovka,Чмыровка
Чигирин,Черкаська область,Чигирин,Чигирин,Cherkasy Oblast,Cherkasy Region,Chyhyryn,Chigirin,Чигирин
Цибиківка,Черкаська область,Цибиківка,Цибиківка,Cherkasy Oblast,Cherkasy Region,Tsybykivka,Tsibikіvka,Цибиковка
Деменці,Черкаська область,Деменці,Деменці,Cherkasy Oblast,Cherkasy Region,Dementsi,Dementsі,Деменцы
Галаганівка,Черкаська область,Галаганівка,Галагановка,Cherkasy Oblast,Cherkasy Region,Halahanivka,Galaganovka,Галагановка
Гненне,Черкаська область,Гненне,Гненне,Cherkasy Oblast,Cherkasy Region,Hnenne,Gnenne,Гненне
Головківка,Черкаська область,Головківка,Головковка,Cherkasy Oblast,Cherkasy Region,Holovkivka,Golovkovka,Головковка
Худоліївка,Черкаська область,Худоліївка,Худолеевка,Cherkasy Oblast,Cherkasy Region,Khudoliivka,Khudoleevka,Худолеевка
Івківці,Черкаська область,Івківці,Івківці,Cherkasy Oblast,Cherkasy Region,Ivkivtsi,Іvkіvtsі,Ивковцы
Красносілля,Черкаська область,Красносілля,Красноселье,Cherkasy Oblast,Cherkasy Region,Krasnosillia,Krasnosele,Красноселье
Кудашеве,Черкаська область,Кудашеве,Кудашеве,Cherkasy Oblast,Cherkasy Region,Kudasheve,Kudasheve,Кудашеве
Матвіївка,Черкаська область,Матвіївка,Матвеевка,Cherkasy Oblast,Cherkasy Region,Matviivka,Matveevka,Матвеевка
Медведівка,Черкаська область,Медведівка,Медведевка,Cherkasy Oblast,Cherkasy Region,Medvedivka,Medvedevka,Медведевка
Погорільці,Черкаська область,Погорільці,Погорельцы,Cherkasy Oblast,Cherkasy Region,Pohoriltsi,Pogoreltsy,Погорельцы
Полуднівка,Черкаська область,Полуднівка,Полуднівка,Cherkasy Oblast,Cherkasy Region,Poludnivka,Poludnіvka,Полудновка
Рацеве,Черкаська область,Рацеве,Рацево,Cherkasy Oblast,Cherkasy Region,Ratseve,Ratsevo,Рацево
Розсошинці,Черкаська область,Розсошинці,Розсошинці,Cherkasy Oblast,Cherkasy Region,Rozsoshyntsi,Rozsoshintsі,Россошинцы
Рублівка,Черкаська область,Рублівка,Рублевка,Cherkasy Oblast,Cherkasy Region,Rublivka,Rublevka,Рублевка
Скаржинка,Черкаська область,Скаржинка,Скаржинка,Cherkasy Oblast,Cherkasy Region,Skarzhynka,Skarzhinka,Скаржинка
Скелівка,Черкаська область,Скелівка,Скелевка,Cherkasy Oblast,Cherkasy Region,Skelivka,Skelevka,Скелевка
Стецівка,Черкаська область,Стецівка,Стецовка,Cherkasy Oblast,Cherkasy Region,Stetsivka,Stetsovka,Стецовка
Суботів,Черкаська область,Суботів,Субботов,Cherkasy Oblast,Cherkasy Region,Subotiv,Subbotov,Субботов
Тарасо-Григорівка,Черкаська область,Тарасо-Григорівка,Тарасо-Григоровка,Cherkasy Oblast,Cherkasy Region,Taraso-Hryhorivka,Taraso-Grigorovka,Тарасо-Григоровка
Тіньки,Черкаська область,Тіньки,Тени,Cherkasy Oblast,Cherkasy Region,Tinky,Teni,Тиньки
Топилівка,Черкаська область,Топилівка,Топилівка,Cherkasy Oblast,Cherkasy Region,Topylivka,Topilіvka,Топиловка
Трушівці,Черкаська область,Трушівці,Трушевцы,Cherkasy Oblast,Cherkasy Region,Trushivtsi,Trushevtsy,Трушевцы
Вдовичине,Черкаська область,Вдовичине,Вдовичино,Cherkasy Oblast,Cherkasy Region,Vdovychyne,Vdovichino,Вдовичино
Вершаці,Черкаська область,Вершаці,Вершаці,Cherkasy Oblast,Cherkasy Region,Vershatsi,Vershatsі,Вершацы
Вітове,Черкаська область,Вітове,Витово,Cherkasy Oblast,Cherkasy Region,Vitove,Vitovo,Витово
Зам'ятниця,Черкаська область,Зам'ятниця,Замятница,Cherkasy Oblast,Cherkasy Region,Zamiatnytsia,Zamyatnitsa,Замятница
Ашанівка,Черкаська область,Ашанівка,Ашановка,Cherkasy Oblast,Cherkasy Region,Ashanivka,Ashanovka,Ашановка
Безбородьки,Черкаська область,Безбородьки,Безбородьки,Cherkasy Oblast,Cherkasy Region,Bezborodky,Bezborodki,Безбородки
Безпальче,Черкаська область,Безпальче,Беспальче,Cherkasy Oblast,Cherkasy Region,Bezpalche,Bespalche,Беспальче
Білоусівка,Черкаська область,Білоусівка,Белоусовка,Cherkasy Oblast,Cherkasy Region,Bilousivka,Belousovka,Белоусовка
Бойківщина,Черкаська область,Бойківщина,Бойковщина,Cherkasy Oblast,Cherkasy Region,Boikivshchyna,Boykovshchina,Бойковщина
Бондарівка,Черкаська область,Бондарівка,Бондаревка,Cherkasy Oblast,Cherkasy Region,Bondarivka,Bondarevka,Бондаревка
Бирлівка,Черкаська область,Бирлівка,Бирловка,Cherkasy Oblast,Cherkasy Region,Byrlivka,Birlovka,Бирловка
Червона Дача,Черкаська область,Червона Дача,Красная Дача,Cherkasy Oblast,Cherkasy Region,Chervona Dacha,Krasnaya Dacha,Червона Дача
Демки,Черкаська область,Демки,Демки,Cherkasy Oblast,Cherkasy Region,Demky,Demki,Демки
Драбів,Черкаська область,Драбів,Драбов,Cherkasy Oblast,Cherkasy Region,Drabiv,Drabov,Драбов
Драбове-Барятинське,Черкаська область,Драбове-Барятинське,Драбово-Барятинское,Cherkasy Oblast,Cherkasy Region,Drabove-Bariatynske,Drabovo-Baryatinskoe,Драбово-Барятинское
Гай,Черкаська область,Гай,Роща,Cherkasy Oblast,Cherkasy Region,Hai,Roshcha,Гай
Гречанівка,Черкаська область,Гречанівка,Гречановка,Cherkasy Oblast,Cherkasy Region,Hrechanivka,Grechanovka,Гречановка
Хомівщина,Черкаська область,Хомівщина,Хомовщина,Cherkasy Oblast,Cherkasy Region,Khomivshchyna,Khomovshchina,Хомовщина
Кантакузівка,Черкаська область,Кантакузівка,Кантакузовка,Cherkasy Oblast,Cherkasy Region,Kantakuzivka,Kantakuzovka,Кантакузовка
Коломиці,Черкаська область,Коломиці,Коломиці,Cherkasy Oblast,Cherkasy Region,Kolomytsi,Kolomitsі,Коломыцы
Кононівка,Черкаська область,Кононівка,Кононовка,Cherkasy Oblast,Cherkasy Region,Kononivka,Kononovka,Кононовка
Ковалівка,Черкаська область,Ковалівка,Ковалевка,Cherkasy Oblast,Cherkasy Region,Kovalivka,Kovalevka,Ковалевка
Ковтунівка,Черкаська область,Ковтунівка,Ковтуновка,Cherkasy Oblast,Cherkasy Region,Kovtunivka,Kovtunovka,Ковтуновка
Козаче,Черкаська область,Козаче,Козаче,Cherkasy Oblast,Cherkasy Region,Kozache,Kozache,Козаче
Козорізи,Черкаська область,Козорізи,Козорезы,Cherkasy Oblast,Cherkasy Region,Kozorizy,Kozorezy,Козорезы
Криштопівка,Черкаська область,Криштопівка,Криштоповка,Cherkasy Oblast,Cherkasy Region,Kryshtopivka,Krishtopovka,Криштоповка
Левченкове,Черкаська область,Левченкове,Левченкове,Cherkasy Oblast,Cherkasy Region,Levchenkove,Levchenkove,Левченкове
Мехедівка,Черкаська область,Мехедівка,Мехедовка,Cherkasy Oblast,Cherkasy Region,Mekhedivka,Mekhedovka,Мехедовка
Мойсівка,Черкаська область,Мойсівка,Мойсивка,Cherkasy Oblast,Cherkasy Region,Moisivka,Moysivka,Мойсивка
Митлашівка,Черкаська область,Митлашівка,Митлашевка,Cherkasy Oblast,Cherkasy Region,Mytlashivka,Mitlashevka,Митлашевка
Нехайки,Черкаська область,Нехайки,Нехайки,Cherkasy Oblast,Cherkasy Region,Nekhaiky,Nekhayki,Нехайки
Новомиколаївка,Черкаська область,Новомиколаївка,Новониколаевка,Cherkasy Oblast,Cherkasy Region,Novomykolaivka,Novonikolaevka,Новониколаевка
Олімпіадівка,Черкаська область,Олімпіадівка,Олимпиадовка,Cherkasy Oblast,Cherkasy Region,Olimpiadivka,Olimpiadovka,Олимпиадовка
Остапівка,Черкаська область,Остапівка,Остаповка,Cherkasy Oblast,Cherkasy Region,Ostapivka,Ostapovka,Остаповка
Павлівщина,Черкаська область,Павлівщина,Павловщина,Cherkasy Oblast,Cherkasy Region,Pavlivshchyna,Pavlovshchina,Павловщина
Перервинці,Черкаська область,Перервинці,Перервинці,Cherkasy Oblast,Cherkasy Region,Perervyntsi,Perervintsі,Перервинцы
Перше Травня,Черкаська область,Перше Травня,Первое Мая,Cherkasy Oblast,Cherkasy Region,Pershe Travnia,Pervoe Maya,Первое Мая
Петровського,Черкаська область,Петровського,Петровского,Cherkasy Oblast,Cherkasy Region,Petrovskoho,Petrovskogo,Петровского
Погребы,Черкаська область,Льох,Погреб,Cherkasy Oblast,Cherkasy Region,Pohreby,Pogreb,Лёх
Радгоспне,Черкаська область,Радгоспне,Совхозное,Cherkasy Oblast,Cherkasy Region,Radhospne,Sovkhoznoe,Радгоспне
Рецюківщина,Черкаська область,Рецюківщина,Рецюковщина,Cherkasy Oblast,Cherkasy Region,Retsiukivshchyna,Retsyukovshchina,Рецюковщина
Рождественське,Черкаська область,Рождественське,Рождественское,Cherkasy Oblast,Cherkasy Region,Rozhdestvenske,Rozhdestvenskoe,Рождественское
Шрамківка,Черкаська область,Шрамківка,Шрамківка,Cherkasy Oblast,Cherkasy Region,Shramkivka,Shramkіvka,Шрамковка
Степанівка,Черкаська область,Степанівка,Степановка,Cherkasy Oblast,Cherkasy Region,Stepanivka,Stepanovka,Степановка
Свічківка,Черкаська область,Свічківка,Свечка,Cherkasy Oblast,Cherkasy Region,Svichkivka,Svechka,Свечковка
Тополи,Черкаська область,Тополя,Тополь,Cherkasy Oblast,Cherkasy Region,Topoly,Topol,Тополь
Великий Хутір,Черкаська область,Великий Хутір,Великий Хутор,Cherkasy Oblast,Cherkasy Region,Velykyi Khutir,Velikiy Khutor,Великий Хутор
Вершина-Згарська,Черкаська область,Вершина-Згарська,Вершина-Згарская,Cherkasy Oblast,Cherkasy Region,Vershyna-Zgharska,Vershina-Zgharskaya,Вершина-Згарская
Вишневе,Черкаська область,Вишневе,Вишневое,Cherkasy Oblast,Cherkasy Region,Vyshneve,Vishnevoe,Вишневое
Яворівка,Черкаська область,Яворівка,Яворовка,Cherkasy Oblast,Cherkasy Region,Yavorivka,Yavorovka,Яворовка
Жорнокльови,Черкаська область,Жорнокльови,Жорнокльови,Cherkasy Oblast,Cherkasy Region,Zhornoklovy,Zhornoklovi,Жорноклевы
Золотоношка,Черкаська область,Золотоношка,Золотоношка,Cherkasy Oblast,Cherkasy Region,Zolotonoshka,Zolotonoshka,Золотоношка
Будо-Орловецька,Черкаська область,Будо-Орловецька,Будо-Орловецька,Cherkasy Oblast,Cherkasy Region,Budo-Orlovetska,Budo-Orlovetska,Будо-Орловецкая
Цвіткове,Черкаська область,Цвіткове,Цветковое,Cherkasy Oblast,Cherkasy Region,Tsvitkove,Tsvetkovoe,Цветковое
Дмитрове,Черкаська область,Дмитрове,Дмитрове,Cherkasy Oblast,Cherkasy Region,Dmytrove,Dmitrove,Дмитрове
Дирдин,Черкаська область,Дирдин,Дирдин,Cherkasy Oblast,Cherkasy Region,Dyrdyn,Dirdin,Дирдин
Городище,Черкаська область,Городище,Городище,Cherkasy Oblast,Cherkasy Region,Horodyshche,Gorodishche,Городище
Хлистунівка,Черкаська область,Хлистунівка,Хлыстуновка,Cherkasy Oblast,Cherkasy Region,Khlystunivka,Khlystunovka,Хлыстуновка
Ільченкове,Черкаська область,Ільченкове,Ільченкове,Cherkasy Oblast,Cherkasy Region,Ilchenkove,Іlchenkove,Ильченково
Калинівка,Черкаська область,Калинівка,Калиновка,Cherkasy Oblast,Cherkasy Region,Kalynivka,Kalinovka,Калиновка
Кличкове,Черкаська область,Кличкове,Клычково,Cherkasy Oblast,Cherkasy Region,Klychkove,Klychkovo,Клычково
Ксаверове,Черкаська область,Ксаверове,Ксаверове,Cherkasy Oblast,Cherkasy Region,Ksaverove,Ksaverove,Ксаверове
Кудинівка,Черкаська область,Кудинівка,Кудиновка,Cherkasy Oblast,Cherkasy Region,Kudynivka,Kudinovka,Кудиновка
Мліїв,Черкаська область,Мліїв,Млиев,Cherkasy Oblast,Cherkasy Region,Mliiv,Mliev,Млиев
Моргунове,Черкаська область,Моргунове,Моргунове,Cherkasy Oblast,Cherkasy Region,Morhunove,Morgunove,Моргунове
Набоків,Черкаська область,Набоків,Набоков,Cherkasy Oblast,Cherkasy Region,Nabokiv,Nabokov,Набоков
Незаможник,Черкаська область,Незаможник,Незаможник,Cherkasy Oblast,Cherkasy Region,Nezamozhnyk,Nezamozhnik,Незаможник
Орловець,Черкаська область,Орловець,Орловец,Cherkasy Oblast,Cherkasy Region,Orlovets,Orlovets,Орловец
Петропавлівка,Черкаська область,Петропавлівка,Петропавловка,Cherkasy Oblast,Cherkasy Region,Petropavlivka,Petropavlovka,Петропавловка
Петрики,Черкаська область,Петрики,Петрики,Cherkasy Oblast,Cherkasy Region,Petryky,Petriki,Петрики
Сагайдачне,Черкаська область,Сагайдачне,Сагайдачное,Cherkasy Oblast,Cherkasy Region,Sahaidachne,Sagaydachnoe,Сагайдачное
Сегединці,Черкаська область,Сегединці,Сегединцы,Cherkasy Oblast,Cherkasy Region,Sehedyntsi,Segedintsy,Сегединцы
Стадниця,Черкаська область,Стадниця,Стадница,Cherkasy Oblast,Cherkasy Region,Stadnytsia,Stadnitsa,Стадница
Старосілля,Черкаська область,Старосілля,Староселье,Cherkasy Oblast,Cherkasy Region,Starosillia,Starosele,Староселье
Товста,Черкаська область,Товста,Толстая,Cherkasy Oblast,Cherkasy Region,Tovsta,Tolstaya,Толстая
Трихуторівка,Черкаська область,Трихуторівка,Трихуторовка,Cherkasy Oblast,Cherkasy Region,Trykhutorivka,Trikhutorovka,Трихуторовка
Тихі Верби,Черкаська область,Тихі Верби,Тихие Ивы,Cherkasy Oblast,Cherkasy Region,Tykhi Verby,Tikhie Ivy,Тихие Вербы
Валява,Черкаська область,Валява,Валява,Cherkasy Oblast,Cherkasy Region,Valiava,Valyava,Валява
Вербівка,Черкаська область,Вербівка,Вербовка,Cherkasy Oblast,Cherkasy Region,Verbivka,Verbovka,Вербовка
Вільшана,Черкаська область,Вільшана,Ольшана,Cherkasy Oblast,Cherkasy Region,Vilshana,Olshana,Ольшана
Воронівка,Черкаська область,Воронівка,Вороновка,Cherkasy Oblast,Cherkasy Region,Voronivka,Voronovka,Вороновка
В'язівок,Черкаська область,В'язівок,Вязовок,Cherkasy Oblast,Cherkasy Region,Viazivok,Vyazovok,Вязовок
Зелена Діброва,Черкаська область,Зелена Діброва,Зеленая Дубрава,Cherkasy Oblast,Cherkasy Region,Zelena Dibrova,Zelenaya Dubrava,Зеленая Дубрава
Журавка,Черкаська область,Журавка,Журавлиха,Cherkasy Oblast,Cherkasy Region,Zhuravka,Zhuravlikha,Журавлиха
Багачівка,Черкаська область,Багачівка,Богачевка,Cherkasy Oblast,Cherkasy Region,Bahachivka,Bogachevka,Богачевка
